污染物,物种名称,摩尔质量,双流园区,龙泉园区,新兴产业园
PBAS,VNAM,MMAS,PSL,PLQ,PXX
VOC,ALDX,46.752,0,0,0
VOC,CH4,16.0425,0,0,0
VOC,ETH,33.1419,0.044,0.044,0.044
VOC,ETHA,30.069,0.021,0.021,0.021
VOC,ETOH,45.5934,0,0,0
VOC,FORM,29.8945,0.002,0.002,0.002
VOC,IOLE,55.3036,0.011,0.011,0.011
VOC,ISOP,68.117,0,0,0
VOC,ALD2,46.752,0,0,0
VOC,MEOH,31.9666,0,0,0
VOC,NVOL,15.9125,0,0,0
VOC,OLE,32.2818,0.036,0.036,0.036
VOC,PAR,16.8563,0.447,0.447,0.447
VOC,TERP,134.3564,0,0,0
VOC,TOL,97.6694,0.029,0.029,0.029
VOC,UNR,25.8865,0.394,0.394,0.394
VOC,XYL,108.9851,0.016,0.016,0.016
VOC,BENZENE,78.1118,0,0,0
PM2p5,PEC,-1,0.0259,0.0259,0.0259
PM2p5,PMFINE,-1,0.7544,0.7544,0.7544
PM2p5,PNO3,-1,0.043,0.043,0.043
PM2p5,POC,-1,0.1237,0.1237,0.1237
PM2p5,PSO4,-1,0.0531,0.0531,0.0531
PM2p5,PH2O,-1,1.00E-04,1.00E-04,1.00E-04
PM2p5,PCL,-1,0.0531,0.0531,0.0531
PM2p5,PNCOM,-1,0.0495,0.0495,0.0495
PM2p5,PCA,-1,0.325,0.325,0.325
PM2p5,PSI,-1,0.0241,0.0241,0.0241
PM2p5,PMG,-1,0.0079,0.0079,0.0079
PM2p5,PMN,-1,9.00E-04,9.00E-04,9.00E-04
PM2p5,PNA,-1,0.0075,0.0075,0.0075
PM2p5,PNH4,-1,0.0272,0.0272,0.0272
PM2p5,PAL,-1,0.068,0.068,0.068
PM2p5,PFE,-1,0.0478,0.0478,0.0478
PM2p5,PTI,-1,9.00E-04,9.00E-04,9.00E-04
PM2p5,PK,-1,0.0092,0.0092,0.0092
PM2p5,PMOTHR,-1,0.1332,0.1332,0.1332
NOx,NO,30,0.9,0.9,0.9
NOx,NO2,46,0.082,0.082,0.082
NOx,HONO,47,0.008,0.008,0.008
CO,CO,28,1,1,1
SO2,SO2,64,1,1,1
NH3,NH3,17,1,1,1
PMC,PMC,-1,1,1,1
